VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.077,26.33,63.6,75.19907198908221,Moderate,1,Moderate,6.518823636230856,79.07854523295552
0.075,25.67,65.19,72.90525247355852,Moderate,1,Moderate,6.513292673501888,78.38486841556944
0.0212,27.5,79.0,90.03800750597067,Fresh,2,Fresh,9.976425548610031,86.98782780040123
0.0165,28.1,64.0,88.07311497782324,Fresh,2,Fresh,9.96389622030159,86.38583071364856
0.1145,27.5,73.0,79.12193790515182,Moderate,2,Fresh,8.822272980873755,82.5588543524193
0.071,24.68,67.56,69.6226134425111,Moderate,1,Moderate,6.503669450133234,77.39045348288656
0.0125,27.8,73.0,94.7221426134425,Fresh,2,Fresh,9.986978443016199,88.40362122704894
0.0116,26.3,75.0,89.00900716479019,Fresh,2,Fresh,9.969392163689113,86.67209431312617
0.073,25.23,66.24,71.4814329580348,Moderate,1,Moderate,6.510207218941936,77.95463710635238
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.96291157041547,86.28167308525681
0.1734,27.5,74.0,68.2408393039918,Moderate,1,Moderate,6.795043589653163,77.2672953808507
0.0176,27.2,76.0,92.55213237802799,Fresh,2,Fresh,9.983798614866,87.7494383282744
0.072,25.0,66.79,70.73035653360628,Moderate,1,Moderate,6.507882221329247,77.72698918141113
0.0714,27.6,72.0,86.70771067894914,Fresh,2,Fresh,9.562555611515226,85.57486881519996
0.0054,27.4,76.0,95.83333333333334,Fresh,2,Fresh,9.983787380852135,88.73378738085214
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.977397486057484,86.92404027009025
0.2163,27.3,77.0,58.42251791197545,Not Fresh,1,Moderate,6.424640433331486,73.95139580692411
0.0125,27.2,75.0,94.25547594677586,Fresh,2,Fresh,9.984773070375764,88.26141585440853
0.0354,26.8,71.0,91.28229273285568,Fresh,2,Fresh,9.974443072894285,87.359130892751
0.0154,28.1,63.0,87.42743091095188,Fresh,2,Fresh,9.958112346446827,86.18634161973239
0.074,25.46,65.69,72.23250938246333,Moderate,1,Moderate,6.512253654158765,78.18200646889777
0.0144,28.0,64.0,89.03135448652336,Fresh,2,Fresh,9.964037526873257,86.67344387283026
0.071,24.71,67.5,69.75261344251112,Moderate,1,Moderate,6.504206658349593,77.42999069110293
0.08,26.91,62.22,77.01730126236781,Moderate,1,Moderate,6.535999453992959,79.64118983270329
0.0116,27.0,76.0,92.37567383145685,Fresh,2,Fresh,9.98265435293709,87.69535650237414
0.02,27.4,73.0,95.84271579665644,Fresh,2,Fresh,9.98666216995749,88.73947690895443
0.0187,27.4,73.0,96.06448311156602,Fresh,2,Fresh,9.986676505203473,88.80602143867328
0.072,25.05,66.68,70.93868986693963,Moderate,1,Moderate,6.5085956276361685,77.79020258771806
0.088,26.23,62.26,71.60591265779598,Moderate,1,Moderate,6.507125147824649,77.98889894516343
0.0125,27.3,66.0,94.02214261344251,Fresh,2,Fresh,9.941145017740542,88.1477878017733
0.0125,28.4,73.0,91.12214261344252,Fresh,2,Fresh,9.985422869526204,87.32206565355895
0.0335,28.0,71.0,91.60641419310815,Fresh,2,Fresh,9.990272215002456,87.47219647293491
0.0134,26.9,69.0,93.96861139542818,Fresh,2,Fresh,9.959503238163975,88.15008665679242
0.0125,26.7,76.0,90.42214261344252,Fresh,2,Fresh,9.979010602271995,87.10565338630475
0.0212,27.5,76.0,92.53800750597065,Fresh,2,Fresh,9.984519961259311,87.7459222130505
0.02,27.4,71.0,97.5093824633231,Fresh,2,Fresh,9.990272933381856,89.24308767237878
0.075,25.83,64.81,73.54858580689185,Moderate,1,Moderate,6.514688849359233,78.57926459142679
0.0107,26.7,75.0,91.5625383828045,Fresh,2,Fresh,9.98014911071715,87.44891062555851
0.146,29.32,55.41,51.50334527465027,Not Fresh,0,Not Fresh,3.2660411509272453,68.71704473332233
0.088,25.92,62.95,70.320912657796,Moderate,1,Moderate,6.506099302337259,77.60237309967606
0.0187,28.3,70.0,91.49781644489934,Fresh,2,Fresh,9.986143469974273,87.43548840344407
0.0165,27.4,76.0,93.93978164448994,Fresh,2,Fresh,9.984349231103566,88.16628372445055
0.0134,28.3,71.0,93.23527806209484,Fresh,2,Fresh,9.990377689708184,87.96096110833665
0.0116,27.4,76.0,94.77567383145684,Fresh,2,Fresh,9.984159226716692,88.41686137615375
0.0134,26.8,71.0,95.03527806209486,Fresh,2,Fresh,9.98102317199789,88.49160659062636
0.0144,28.1,63.0,87.59802115319002,Fresh,2,Fresh,9.958869368159949,86.23827571411695
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.975000074642061,86.74164285867482
0.0144,26.8,71.0,94.86468781985671,Fresh,2,Fresh,9.980901478513992,88.440307824471
0.0301,26.8,71.0,92.18642101671786,Fresh,2,Fresh,9.97704318376902,87.63296948878437
0.0165,28.1,65.0,88.90644831115658,Fresh,2,Fresh,9.967344809243487,86.63927930259045
0.0176,27.4,75.0,94.58546571136131,Fresh,2,Fresh,9.985507669938093,88.36114738334648
0.0176,28.2,69.0,91.45213237802797,Fresh,2,Fresh,9.977854473498557,87.41349418690695
0.128,28.51,57.19,60.91730296827019,Moderate,1,Moderate,5.51021675532151,73.78540764580256
0.0134,26.9,78.0,89.80194472876151,Fresh,2,Fresh,9.977428472489123,86.91801189111757
0.0099,27.4,76.0,95.06567724326167,Fresh,2,Fresh,9.98407228112617,88.50377545410466
0.0125,27.2,76.0,93.42214261344252,Fresh,2,Fresh,9.983619188846443,88.0102619728792
0.0107,26.3,76.0,88.32920504947118,Fresh,2,Fresh,9.9682906179339,86.46705213277525
0.0092,27.4,75.0,96.01842374616172,Fresh,2,Fresh,9.98527314284274,88.79080026669126
0.0125,28.4,71.0,92.78880928010918,Fresh,2,Fresh,9.98625846109855,87.8229012451313
0.0134,28.3,70.0,92.40194472876149,Fresh,2,Fresh,9.986144527722606,87.70672794635107
0.0078,26.3,75.0,89.65725008529515,Fresh,2,Fresh,9.96923470897568,86.86640973456423
0.08,26.95,62.11,77.16563459570112,Moderate,1,Moderate,6.53624518210397,79.6859355608143
0.074,25.42,65.8,72.08417604913001,Moderate,1,Moderate,6.511932558567953,78.13718537330696
0.0144,27.2,77.0,92.2646878198567,Fresh,2,Fresh,9.981991922428529,87.66139826838553
0.0134,28.5,74.0,89.53527806209483,Fresh,2,Fresh,9.983155845147753,86.8437392637762
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.975000074642061,86.74164285867482
0.0212,27.4,71.0,97.30467417263733,Fresh,2,Fresh,9.99027257770647,89.18167482949767
0.136,28.76,56.64,57.59424769703171,Not Fresh,0,Not Fresh,3.650445657157351,70.92871996626687
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.983231161340981,87.82987394537375
0.0285,28.0,71.0,92.45936540429886,Fresh,2,Fresh,9.990275127533017,87.72808474882268
0.0176,28.3,63.0,85.85213237802796,Fresh,2,Fresh,9.96255882085196,85.71819853426035
0.0134,28.4,71.0,92.63527806209484,Fresh,2,Fresh,9.986244068589809,87.77682748721827
0.146,29.25,55.55,52.04001194131694,Not Fresh,0,Not Fresh,3.2728870702531325,68.88489065264821
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.986644279490825,88.67804653128204
0.0212,27.4,73.0,95.63800750597066,Fresh,2,Fresh,9.986644279490825,88.67804653128204
0.0134,28.2,71.0,93.83527806209484,Fresh,2,Fresh,9.990275761735086,88.14085918036353
0.0116,27.2,76.0,93.57567383145685,Fresh,2,Fresh,9.983576853562663,88.05627900299972
0.0092,26.3,75.0,89.41842374616174,Fresh,2,Fresh,9.969312181698022,86.79483930554655
0.0226,26.8,71.0,93.46584783350393,Fresh,2,Fresh,9.97942521554955,88.01917956560072
0.0134,27.4,66.0,94.46861139542818,Fresh,2,Fresh,9.944094481357102,88.28467789998555
0.0116,26.4,76.0,88.77567383145684,Fresh,2,Fresh,9.972122835443159,86.6048249848802
0.0144,28.3,71.0,93.06468781985669,Fresh,2,Fresh,9.990377644839995,87.90978399079701
0.0412,27.9,71.0,90.89286932787444,Fresh,2,Fresh,9.985252902082259,87.25311370044459
0.0372,28.0,71.0,90.97523029682702,Fresh,2,Fresh,9.990268812760295,87.28283790180839
0.0107,28.0,64.0,89.66253838280448,Fresh,2,Fresh,9.96563801382587,86.8643995286672
0.074,25.58,65.41,72.71917604912998,Moderate,1,Moderate,6.513439550137745,78.32919236487675
0.136,28.7,56.78,58.07091436369839,Not Fresh,0,Not Fresh,3.753889516133501,71.17516382524302
0.0176,27.0,77.0,90.51879904469466,Fresh,2,Fresh,9.981187991478244,87.13682770488664
0.0125,27.1,76.0,92.82214261344254,Fresh,2,Fresh,9.983231161340981,87.82987394537375
0.0165,28.4,69.0,90.43978164448994,Fresh,2,Fresh,9.982517011768747,87.11445150511574
0.072,25.12,66.51,71.21702320027296,Moderate,1,Moderate,6.509477621256341,77.87458458133824
0.079,26.77,62.55,76.62289150460595,Moderate,1,Moderate,6.526320050367838,79.51318750174963
0.0187,27.1,77.0,90.93114977823271,Fresh,2,Fresh,9.981786724638937,87.26113165810875
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.977397486057484,86.92404027009025
0.071,24.84,67.17,70.2576134425111,Moderate,1,Moderate,6.505945164235198,77.58322919698853
0.0372,26.8,71.0,90.97523029682704,Fresh,2,Fresh,9.973322314203841,87.26589140325196
0.08,26.98,62.06,77.30396792903448,Moderate,1,Moderate,6.537500747382823,79.72869112609317
0.102,26.73,61.16,71.3009825997953,Moderate,1,Moderate,6.504078497561887,77.89437327750048
0.0226,27.5,79.0,89.79918116683724,Fresh,2,Fresh,9.976503965696697,86.91625831574787
0.117,27.53,59.38,70.4987956328898,Moderate,1,Moderate,6.505846838553181,77.65548552842012
0.0085,28.5,69.0,91.20450358239508,Fresh,2,Fresh,9.981946692467407,87.34329776718593
0.0099,26.4,76.0,89.06567724326167,Fresh,2,Fresh,9.971992607577075,86.69169578055558
0.0165,28.3,69.0,91.03978164448992,Fresh,2,Fresh,9.98294079245575,87.29487528580273
0.02,28.1,71.0,93.30938246332308,Fresh,2,Fresh,9.990276588710136,87.98309132770706
0.0318,27.9,70.0,91.66308427157968,Fresh,2,Fresh,9.98227749866141,87.48120278013532
0.0134,28.3,69.0,91.56861139542816,Fresh,2,Fresh,9.98294167946295,87.4535250980914
0.0125,27.3,75.0,94.85547594677585,Fresh,2,Fresh,9.98505352779713,88.44169631182987
0.116,27.34,59.79,71.43105254179461,Moderate,1,Moderate,6.510236831360903,77.9395525938993
0.0134,28.3,70.0,92.40194472876149,Fresh,2,Fresh,9.986144527722606,87.70672794635107
0.0125,27.2,76.0,93.42214261344252,Fresh,2,Fresh,9.983619188846443,88.0102619728792
0.0107,26.4,76.0,88.92920504947116,Fresh,2,Fresh,9.972057342917461,86.65081885775881
0.0107,28.1,64.0,89.06253838280449,Fresh,2,Fresh,9.966309719801021,86.68507123464238
0.0269,27.9,70.0,92.49897645854658,Fresh,2,Fresh,9.982281191490763,87.73197412905473
0.0212,27.5,74.0,94.20467417263733,Fresh,2,Fresh,9.986381635648689,88.24778388743988
0.08,26.89,62.28,76.9473012623678,Moderate,1,Moderate,6.532034348761458,79.6162247274718
0.0165,28.3,69.0,91.03978164448992,Fresh,2,Fresh,9.98294079245575,87.29487528580273
0.0125,28.2,63.0,87.32214261344251,Fresh,2,Fresh,9.961072749522641,86.1577155335554
0.128,28.14,58.01,63.82063630160353,Moderate,1,Moderate,6.36521871484471,75.51140960532577
0.0125,28.6,71.0,91.58880928010915,Fresh,2,Fresh,9.983066042253384,87.45970882628613
0.0134,28.3,74.0,90.73527806209484,Fresh,2,Fresh,9.984964243468644,87.20554766209709
0.0134,27.3,78.0,92.2019447287615,Fresh,2,Fresh,9.979599829254976,87.64018324788343
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.977397486057484,86.92404027009025
0.024,28.2,71.0,92.02702149437052,Fresh,2,Fresh,9.990274087907,87.59838053621816
0.079,26.86,62.33,76.9795581712726,Moderate,1,Moderate,6.532574368847975,79.62644182022976
0.0116,28.3,71.0,93.5423404981235,Fresh,2,Fresh,9.990377706579416,88.05307985601647
0.0154,27.4,76.0,94.12743091095189,Fresh,2,Fresh,9.984314281886697,88.22254355517227
0.0226,26.8,71.0,93.46584783350393,Fresh,2,Fresh,9.97942521554955,88.01917956560072
0.0187,27.4,73.0,96.06448311156602,Fresh,2,Fresh,9.986676505203473,88.80602143867328
0.0144,27.4,75.0,95.13135448652336,Fresh,2,Fresh,9.985444829587891,88.52485117554491
0.074,25.39,65.85,71.94584271579667,Moderate,1,Moderate,6.5115158789746825,78.09526869371368
0.074,25.56,65.47,72.64917604912999,Moderate,1,Moderate,6.513318894636562,78.30807170937555
0.0134,26.9,78.0,89.80194472876151,Fresh,2,Fresh,9.977428472489123,86.91801189111757
0.0372,28.0,70.0,90.14189696349368,Fresh,2,Fresh,9.982270181226578,87.0248392702747
0.077,26.15,64.04,74.48573865574889,Moderate,1,Moderate,6.516206410974412,78.86192800769908
0.0144,27.1,77.0,91.66468781985671,Fresh,2,Fresh,9.981593623322823,87.48099996927984
0.0099,27.6,68.0,95.53234390992833,Fresh,2,Fresh,9.97179470432308,88.63149787730158
0.076,26.11,64.15,74.50799556465371,Moderate,1,Moderate,6.5167651688619515,78.86916383825806
0.0134,27.3,77.0,93.03527806209485,Fresh,2,Fresh,9.982194802244702,87.89277822087315
0.073,25.19,66.35,71.33309962470148,Moderate,1,Moderate,6.50981630263724,77.90974619004768
0.0125,26.7,75.0,91.25547594677586,Fresh,2,Fresh,9.980213952760042,87.35685673679279
0.0134,28.3,71.0,93.23527806209484,Fresh,2,Fresh,9.990377689708184,87.96096110833665
0.0144,28.0,65.0,89.8646878198567,Fresh,2,Fresh,9.967505569680814,86.92691191563782
0.0085,26.3,75.0,89.53783691572843,Fresh,2,Fresh,9.969276278411956,86.83062735313047
0.0134,28.3,73.0,91.56861139542816,Fresh,2,Fresh,9.985991196200086,87.45657461482853
0.0165,27.5,73.0,95.83978164448993,Fresh,2,Fresh,9.986861358467573,88.73879585181456
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.96291157041547,86.28167308525681
0.0187,28.5,69.0,89.46448311156601,Fresh,2,Fresh,9.977760201587241,86.81710513505703
0.0107,27.4,76.0,94.92920504947116,Fresh,2,Fresh,9.984114573921515,88.46287608876287
0.073,25.35,65.96,71.96809962470148,Moderate,1,Moderate,6.5115754591751225,78.10200534658557
0.0176,28.3,65.0,87.51879904469463,Fresh,2,Fresh,9.97155088884655,86.22719060225494
0.072,25.1,66.57,71.14702320027295,Moderate,1,Moderate,6.509290977438815,77.85339793752071
0.02,27.5,73.0,95.24271579665641,Fresh,2,Fresh,9.986839375386136,88.55965411438305
0.088,25.74,63.36,69.58257932446263,Moderate,1,Moderate,6.505518436692858,77.38029223403164
0.128,28.08,58.15,64.29730296827022,Moderate,1,Moderate,6.400237198782436,75.6894280892635
0.0116,28.0,65.0,90.34234049812349,Fresh,2,Fresh,9.968250724302507,87.07095287373956
0.0165,26.8,71.0,94.50644831115662,Fresh,2,Fresh,9.980608932931888,88.33254342627887
0.148,29.44,55.14,50.21716479017398,Not Fresh,0,Not Fresh,3.2575746536986925,68.32272409075088
0.088,26.11,62.53,71.11091265779599,Moderate,1,Moderate,6.506711428045661,77.83998522538445
0.0092,28.2,65.0,89.55175707949505,Fresh,2,Fresh,9.969265615568457,86.83479273941697
0.075,25.74,65.03,73.19191914022518,Moderate,1,Moderate,6.513947098627417,78.47152284069496
